Photon   |Coherent|Incoher.|Photoel.|Tot. w/ |
Energy   |Scatter.|Scatter.|Absorb. |Coherent|

1.000E-03|1.017E+00|1.585E-02|2.022E+03|2.023E+03|
1.500E-03|9.023E-01|3.134E-02|6.399E+02|6.409E+02|
2.000E-03|7.820E-01|4.795E-02|2.760E+02|2.768E+02|
3.000E-03|5.745E-01|7.809E-02|8.202E+01|8.267E+01|
4.000E-03|4.306E-01|1.011E-01|3.407E+01|3.460E+01|
5.000E-03|3.357E-01|1.174E-01|1.707E+01|1.752E+01|
6.000E-03|2.720E-01|1.290E-01|9.646E+00|1.005E+01|
8.000E-03|1.949E-01|1.443E-01|3.880E+00|4.219E+00|
1.000E-02|1.503E-01|1.542E-01|1.899E+00|2.203E+00|
1.500E-02|9.051E-02|1.692E-01|5.110E-01|7.707E-01|
2.000E-02|5.982E-02|1.769E-01|1.991E-01|4.358E-01|
3.000E-02|3.104E-02|1.815E-01|5.220E-02|2.648E-01|
4.000E-02|1.885E-02|1.805E-01|2.006E-02|2.194E-01|
5.000E-02|1.263E-02|1.776E-01|9.536E-03|1.997E-01|
6.000E-02|9.036E-03|1.740E-01|5.187E-03|1.882E-01|
8.000E-02|5.260E-03|1.664E-01|1.985E-03|1.736E-01|
1.000E-01|3.426E-03|1.592E-01|9.435E-04|1.636E-01|
1.500E-01|1.551E-03|1.440E-01|2.475E-04|1.458E-01|
2.000E-01|8.786E-04|1.322E-01|9.728E-05|1.332E-01|
3.000E-01|3.926E-04|1.151E-01|2.726E-05|1.156E-01|
4.000E-01|2.212E-04|1.032E-01|1.163E-05|1.035E-01|
5.000E-01|1.417E-04|9.431E-02|6.256E-06|9.446E-02|
6.000E-01|9.848E-05|8.725E-02|3.890E-06|8.735E-02|
8.000E-01|5.540E-05|7.665E-02|1.962E-06|7.670E-02|
1.000E+00|3.547E-05|6.893E-02|1.220E-06|6.896E-02|
